title,author,description,rating,url
Divergent,Veronica Roth,Dystopian action novel,4.4,https://example.com
Insurgent,Veronica Roth,Sequel dystopian novel,4.3,https://example.com
Allegiant,Veronica Roth,Final dystopian novel,4.2,https://example.com
Twilight,Stephenie Meyer,Romantic vampire novel,4.2,https://example.com
New Moon,Stephenie Meyer,Sequel romance novel,4.1,https://example.com
Eclipse,Stephenie Meyer,Third romance novel,4.0,https://example.com
Breaking Dawn,Stephenie Meyer,Final romance novel,4.1,https://example.com
The Notebook,Nicholas Sparks,Romantic drama novel,4.5,https://example.com
Dear John,Nicholas Sparks,Love story novel,4.3,https://example.com
Safe Haven,Nicholas Sparks,Romantic thriller novel,4.4,https://example.com
The Last Song,Nicholas Sparks,Drama romance novel,4.3,https://example.com
Message in a Bottle,Nicholas Sparks,Romantic novel,4.2,https://example.com
The Time Traveler's Wife,Audrey Niffenegger,Time travel romance,4.4,https://example.com
Outliers,Malcolm Gladwell,Success analysis book,4.6,https://example.com
Blink,Malcolm Gladwell,Thinking psychology book,4.5,https://example.com
David and Goliath,Malcolm Gladwell,Underdog success stories,4.4,https://example.com
Talking to Strangers,Malcolm Gladwell,Social psychology book,4.3,https://example.com
